"Season","Player_URL","comp_name","region","country","season_start_year","squad","player_num","player_name","player_position","player_dob","player_age","player_nationality","current_club","player_height_mtrs","player_foot","date_joined","joined_from","contract_expiry","player_market_value_euro"
"2019","https://www.transfermarkt.com/javairo-dilrosun/profil/spieler/315125","Bundesliga","Europe","Germany",2019,"Hertha BSC","16","Javairô Dilrosun","Left Winger",1998-06-22,22,"Netherlands","CF América","1.75","left","2018-07-01","Manchester City U23",NA,14500000
"2019","https://www.transfermarkt.com/manuel-neuer/profil/spieler/17259","Bundesliga","Europe","Germany",2019,"Bayern Munich","1","Manuel Neuer","Goalkeeper",1986-03-27,34,"Germany","Bayern Munich","1.93","right","2011-07-01","FC Schalke 04",NA,14500000
"2019","https://www.transfermarkt.com/marko-grujic/profil/spieler/222813","Bundesliga","Europe","Germany",2019,"Hertha BSC","15","Marko Grujić","Defensive Midfield",1996-04-13,24,"Serbia","FC Porto","1.91","right","2019-07-01","Liverpool FC",NA,14500000
"2019","https://www.transfermarkt.com/martin-hinteregger/profil/spieler/85789","Bundesliga","Europe","Germany",2019,"Eintracht Frankfurt","13","Martin Hinteregger","Centre-Back",1992-09-07,27,"Austria","SK Austria Klagenfurt","1.84","left","2019-08-01","FC Augsburg",NA,14500000
"2019","https://www.transfermarkt.com/maximilian-arnold/profil/spieler/117674","Bundesliga","Europe","Germany",2019,"VfL Wolfsburg","27","Maximilian Arnold","Central Midfield",1994-05-27,26,"Germany","VfL Wolfsburg","1.84","left","2012-01-01","VfL Wolfsburg U19",NA,14500000
"2019","https://www.transfermarkt.com/robin-koch/profil/spieler/328784","Bundesliga","Europe","Germany",2019,"SC Freiburg","25","Robin Koch","Centre-Back",1996-07-17,23,"Germany","Eintracht Frankfurt","1.92","right","2017-08-22","1.FC Kaiserslautern",NA,14500000
"2019","https://www.transfermarkt.com/stefan-lainer/profil/spieler/85791","Bundesliga","Europe","Germany",2019,"Borussia Mönchengladbach","18","Stefan Lainer","Right-Back",1992-08-27,27,"Austria","Borussia Mönchengladbach","1.75","right","2019-07-01","Red Bull Salzburg",NA,14500000
"2019","https://www.transfermarkt.com/ademola-lookman/profil/spieler/406040","Bundesliga","Europe","Germany",2019,"RB Leipzig","17","Ademola Lookman","Second Striker",1997-10-20,22,"Nigeria","Atalanta BC","1.74","right","2019-07-25","Everton FC",NA,13500000
"2019","https://www.transfermarkt.com/diego-demme/profil/spieler/82070","Bundesliga","Europe","Germany",2019,"RB Leipzig","-","Diego Demme","Defensive Midfield",1991-11-21,28,"Germany","Hertha BSC","1.7","right","2014-01-08","SC Paderborn 07",NA,13500000
"2019","https://www.transfermarkt.com/giovanni-reyna/profil/spieler/504215","Bundesliga","Europe","Germany",2019,"Borussia Dortmund","32","Giovanni Reyna","Attacking Midfield",2002-11-13,17,"United States","Borussia Dortmund","1.85","right","2020-01-12","Borussia Dortmund U19",NA,13500000
"2019","https://www.transfermarkt.com/josip-brekalo/profil/spieler/293169","Bundesliga","Europe","Germany",2019,"VfL Wolfsburg","7","Josip Brekalo","Left Winger",1998-06-23,22,"Croatia","Kasimpasa","1.75","right","2016-07-01","GNK Dinamo Zagreb",NA,13500000
"2019","https://www.transfermarkt.com/lucas-alario/profil/spieler/193782","Bundesliga","Europe","Germany",2019,"Bayer 04 Leverkusen","13","Lucas Alario","Centre-Forward",1992-10-08,27,"Argentina","Club Estudiantes de La Plata","1.85","right","2017-08-31","CA River Plate",NA,13500000
"2019","https://www.transfermarkt.com/matheus-cunha/profil/spieler/517894","Bundesliga","Europe","Germany",2019,"RB Leipzig","-","Matheus Cunha","Centre-Forward",1999-05-27,21,"Brazil","Wolverhampton Wanderers","1.83","right","2018-07-01","FC Sion",NA,13500000
"2019","https://www.transfermarkt.com/paulinho/profil/spieler/428791","Bundesliga","Europe","Germany",2019,"Bayer 04 Leverkusen","7","Paulinho","Left Winger",2000-07-15,19,"Brazil","Sociedade Esportiva Palmeiras","1.77","right","2018-07-16","Clube de Regatas Vasco da Gama",NA,13500000
"2019","https://www.transfermarkt.com/pavel-kaderabek/profil/spieler/143798","Bundesliga","Europe","Germany",2019,"TSG 1899 Hoffenheim","3","Pavel Kaderabek","Right-Back",1992-04-25,28,"Czech Republic","TSG 1899 Hoffenheim","1.82","right","2015-07-01","AC Sparta Prague",NA,13500000
"2019","https://www.transfermarkt.com/philipp-max/profil/spieler/111275","Bundesliga","Europe","Germany",2019,"FC Augsburg","31","Philipp Max","Left-Back",1993-09-30,26,"Germany","Panathinaikos FC","1.77","left","2015-08-04","Karlsruher SC",NA,13500000
"2019","https://www.transfermarkt.com/wendell/profil/spieler/228433","Bundesliga","Europe","Germany",2019,"Bayer 04 Leverkusen","18","Wendell","Left-Back",1993-07-20,26,"Brazil","São Paulo Futebol Clube","1.76","left","2014-07-01","Grêmio Foot-Ball Porto Alegrense",NA,13500000
"2019","https://www.transfermarkt.com/breel-embolo/profil/spieler/237662","Bundesliga","Europe","Germany",2019,"Borussia Mönchengladbach","36","Breel Embolo","Centre-Forward",1997-02-14,23,"Switzerland","AS Monaco","1.87","right","2019-07-01","FC Schalke 04",NA,1.3e+07
"2019","https://www.transfermarkt.com/javi-martinez/profil/spieler/44017","Bundesliga","Europe","Germany",2019,"Bayern Munich","8","Javi Martínez","Centre-Back",1988-09-02,31,"Spain","Qatar SC","1.89","right","2012-08-29","Athletic Bilbao",NA,1.3e+07
